name,octagon_debut,height,weight,reach,leg_reach,sig_strikes_landed_per_minute,sig_strikes_absorbed_per_minute,takedowns_avg,submission_avg,knockdown_avg,fight_time_avg
daniel frunza,"Apr. 5, 2025",73.0,170.5,73.0,41.0,6.0,7.0,0.0,0.0,0.0,405
daniel gallemore,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,3.0,6.0,0.0,0.0,0.0,600
daniel jolly,"Jul. 25, 2017",73.0,204.0,75.0,43.0,1.0,3.0,2.83,0.0,0.0,212
daniel kelly,"Nov. 7, 2014",72.0,186.0,70.5,43.0,4.0,5.0,1.86,0.31,0.0,580
daniel lacerda,"Oct. 23, 2021",66.0,136.6,70.0,38.0,4.0,8.0,2.32,1.16,1.74,259
daniel marcos,"Jan. 21, 2023",67.0,135.5,69.0,40.0,5.0,4.0,0.99,0.0,0.5,778
daniel omielanczuk,"Sep. 21, 2013",72.0,248.0,74.0,41.0,3.0,3.0,0.56,0.14,0.28,715
daniel pereira,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
daniel pineda,"Jan. 21, 2012",67.0,145.5,69.0,38.0,3.0,3.0,1.42,1.54,0.24,566
daniel roberts,"Mar. 21, 2010",70.0,171.0,72.4,39.5,1.0,2.0,2.46,2.46,0.0,574
daniel rodriguez,"Feb. 15, 2020",73.0,170.0,74.0,41.0,7.0,5.0,0.51,0.08,0.59,710
daniel santos,"Apr. 9, 2022",67.0,146.0,67.0,37.0,5.0,5.0,3.03,0.0,0.28,817
daniel spitz,"Mar. 5, 2017",79.0,240.0,82.0,45.0,3.0,5.0,0.74,0.0,0.0,606
daniel spohn,"Jul. 18, 2017",76.0,206.0,78.0,44.2,2.0,2.0,0.0,2.48,0.0,545
daniel swain,"Sep. 27, 2025",68.4,145.5,69.7,38.7,1.0,3.0,0.0,6.0,0.0,300
daniel teymur,"Jul. 16, 2017",65.0,144.5,69.0,38.0,3.0,4.0,0.56,0.28,0.0,644
