days_since_debut_diff,losses_diff,wins_diff,head_target_diff,sig_strikes_ground_diff,sig_strikes_landed_diff,knockdown_avg_diff,takedowns_avg_diff,sig_strikes_standing_diff,sig_strikes_attempted_diff,takedowns_attempted_diff,takedown_defense_diff,submission_avg_diff,days_since_win_diff,leg_target_diff,winner
-392,-7,-6,-1264,-164,-1683,2.54,-1.05,-1157,-3695,-85,-42,-1.29,-178.0,-150,1
21,4,4,162,76,244,0.26,-4.43,163,586,-20,2,-1.0,0.0,32,0
469,-14,-26,-558,-48,-966,-0.2,2.15,-831,-2325,-2,-18,-0.3799999999999999,-77.0,-219,1
-77,-1,3,-79,-74,-108,0.0,0.81,-31,-290,-32,-36,-1.49,0.0,-11,1
-819,3,19,546,191,894,-0.3,1.2799999999999998,517,1665,191,-22,0.84,140.0,100,0
0,-3,0,24,-49,-31,0.59,-1.8700000000000008,26,5,-38,-35,2.75,0.0,-21,1
791,-5,1,-94,59,-245,0.1699999999999999,0.13,-178,-88,-2,-10,0.33,-147.0,45,1
-91,1,3,28,36,16,-0.45,2.49,39,49,35,-63,1.6,-49.0,0,1
287,-1,10,-67,17,99,-0.37,-0.5799999999999998,142,-94,-47,-10,1.5499999999999998,42.0,92,1
-79,0,-4,3,30,30,-0.32,-1.6,-12,-57,-9,-18,0.0,-79.0,18,1
-385,-2,-1,-231,-163,-302,0.58,2.3,-100,-776,-2,69,-0.03,126.0,-25,1
7,5,14,367,110,724,-0.0999999999999999,1.3299999999999998,468,1809,72,-8,-0.0699999999999999,-58.0,85,0
336,-1,-3,76,-11,160,0.69,-0.2499999999999999,175,472,-1,58,-0.01,175.0,58,1
-574,12,17,953,274,1593,-0.08,1.52,1025,3232,181,16,-0.85,-58.0,231,0
-84,-5,-5,-240,76,-250,-0.63,1.4600000000000002,-329,-409,43,-12,0.1999999999999999,-84.0,-52,0
259,-4,-2,-441,-22,-665,0.0,1.24,-431,-1886,-15,10,0.86,259.0,-108,1
-231,6,3,309,127,397,0.18,0.7999999999999998,144,860,59,-27,0.3099999999999999,-196.0,64,0
-238,3,-3,334,33,432,-0.1399999999999999,2.2,304,1119,115,27,-0.2499999999999999,0.0,169,0
28,-1,15,41,133,-197,0.3,2.3600000000000003,-265,-471,71,11,0.2599999999999999,184.0,-120,0
-882,10,20,-43,14,2,-0.97,0.6099999999999999,-21,-259,-1,-47,-0.05,-406.0,10,0
0,0,6,-10,23,-19,-2.65,3.94,-32,-110,44,-90,0.67,0.0,-2,0
-182,-2,6,20,10,-2,0.0,1.0799999999999998,-16,21,-1,24,1.74,0.0,-34,0
7,2,9,101,25,165,0.51,0.26,161,435,19,11,-3.29,-357.0,37,1
-77,-11,-12,-239,-107,-348,-0.34,-0.5800000000000001,-179,-634,-53,-6,-1.23,39.0,-56,1
-285,-10,-14,-124,-64,-446,-0.31,1.1800000000000002,-330,-1279,18,50,-0.5700000000000001,-117.0,-213,1
-70,2,-3,-508,-31,-722,-0.61,-0.68,-584,-1719,-28,-44,0.5800000000000001,0.0,-89,1
0,-11,-17,-681,-108,-1294,-0.15,1.1,-1128,-3546,-136,-33,-0.45,0.0,-331,1
0,3,8,74,64,109,0.5,0.74,37,214,7,8,0.0,0.0,11,0
0,0,-3,-486,-5,-843,0.12,0.18,-768,-1674,-24,-34,0.75,0.0,-239,1
